Cor Res,Temp ( C )
100.00,0
100.78,2
101.56,4
102.34,6
103.12,8
103.90,10
104.68,12
105.46,14
106.24,16
107.02,18
107.79,20
108.57,22
109.35,24
110.12,26
110.90,28
111.67,30
112.45,32
113.22,34
113.99,36
114.90,38
115.54,40
116.31,42
117.08,44
117.85,46
118.62,48
119.40,50
120.16,52
120.93,54
121.70,56
122.47,58
123.24,60
124.01,62
124.77,64
125.54,66
126.31,68
127.07,70
127.84,72
130.13,78
130.89,80
131.86,82
132.42,84
133.18,86
133.94,88
134.70,90
135.46,92
136.22,94
136.98,96
137.74,98
138.50,100
139.26,102
140.02,104
140.77,106
141.53,108
142.29,110
143.04,112
143.80,114
144.55,116
145.31,118
146.06,120
146.81,122
147.57,124
148.32,126
149.07,128
149.82,130
150.57,132
151.33,134
152.08,136
152.83,138
153.58,140
154.32,142
155.07,144
155.82,146
156.57,148
157.31,150
158.06,152
158.81,154
159.55,156
160.30,158
161.04,160
161.79,162
162.53,164
163.27,166
164.02,168
164.76,170
165.50,172
166.24,174
166.98,176
167.72,178
168.46,180
169.20,182
169.94,184
170.68,186
171.42,188
172.90,192
173.63,194
174.37,196
175.10,198
172.16,190